PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
56,Gary,Payton,Seattle SuperSonics,All-NBA,2,1994-95,,,1610612760,Award,Kia Motors,KIANT,
56,Gary,Payton,Seattle SuperSonics,All-NBA,2,1995-96,,,1610612760,Award,Kia Motors,KIANT,
56,Gary,Payton,Seattle SuperSonics,All-NBA,2,1996-97,,,1610612760,Award,Kia Motors,KIANT,
56,Gary,Payton,Seattle SuperSonics,All-NBA,1,1997-98,,,1610612760,Award,Kia Motors,KIANT,
56,Gary,Payton,Seattle SuperSonics,All-NBA,2,1998-99,,,1610612760,Award,Kia Motors,KIANT,
56,Gary,Payton,Seattle SuperSonics,All-NBA,1,1999-00,,,1610612760,Award,Kia Motors,KIANT,
56,Gary,Payton,Seattle SuperSonics,All-NBA,3,2000-01,,,1610612760,Award,Kia Motors,KIANT,
56,Gary,Payton,Seattle SuperSonics,All-NBA,2,2001-02,,,1610612760,Award,Kia Motors,KIANT,
56,Gary,Payton,Seattle SuperSonics,All-Rookie Team,2,1990-91,,,1610612760,Award,Kia Motors,KIART,
56,Gary,Payton,,Hall of Fame Inductee,,2013,,,,Award,Hall of Fame,,
56,Gary,Payton,,NBA All-Star,,1993-94,,,,Award,All-Star,,
56,Gary,Payton,,NBA All-Star,,1994-95,,,,Award,All-Star,,
56,Gary,Payton,,NBA All-Star,,1995-96,,,,Award,All-Star,,
56,Gary,Payton,,NBA All-Star,,1996-97,,,,Award,All-Star,,
56,Gary,Payton,,NBA All-Star,,1997-98,,,,Award,All-Star,,
56,Gary,Payton,,NBA All-Star,,1999-00,,,,Award,All-Star,,
56,Gary,Payton,,NBA All-Star,,2000-01,,,,Award,All-Star,,
56,Gary,Payton,,NBA All-Star,,2001-02,,,,Award,All-Star,,
56,Gary,Payton,,NBA All-Star,,2002-03,,,,Award,All-Star,,
56,Gary,Payton,Miami Heat,NBA Champion,,2005-06,,,,Award,Champion,,
56,Gary,Payton,Seattle SuperSonics,NBA Defensive Player of the Year,,1995-96,,,,Award,Kia Motors,KDPYR,
56,Gary,Payton,Seattle SuperSonics,NBA Player of the Month,,1999-00,04/01/2000,,,Award,Kia Motors,KIPMO,
56,Gary,Payton,Seattle SuperSonics,NBA Player of the Week,,1994-95,,1995-01-08T00:00:00,,Award,Kia Motors,KIPWK,
56,Gary,Payton,Seattle SuperSonics,NBA Player of the Week,,1998-99,,1999-02-14T00:00:00,,Award,Kia Motors,KIPWK,
56,Gary,Payton,Seattle SuperSonics,NBA Player of the Week,,2001-02,,2001-12-23T00:00:00,West,Award,Kia Motors,KIPWK,
56,Gary,Payton,USA,Olympic Gold Medal,,1996,,,,Award,Olympic,Gold,
56,Gary,Payton,USA,Olympic Gold Medal,,2000,,,,Award,Olympic,Gold,
718,,,,,,,,,,,,,
248,,,,,,,,,,,,,
45,,,,,,,,,,,,,
